id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
39,COMP_M,17,17_217,17_(212-217),426,435,86,53,17_212,128.75254237288135,682.5837808874089,811.3363232602903,636.5837795378222,682.5837808874089
4,COMP_M,8,8_120,8_(117-120),234,237,134,184,8_117,29.817691477885653,682.768832283591,712.5865237614767,638.7688309881166,682.768832283591
3,COMP_M,1,1_27,1_(24-27),66,73,71,198,1_24,30.61578947368421,683.719171765709,714.3349612393932,617.7191692925121,683.719171765709
17,COMP_M,16,16_210,16_(209-210),419,422,158,166,16_209,70.44539614561027,685.4364536940225,755.8818498396328,621.3594886004157,685.4364536940225
11,COMP_M,15,15_193,15_(190-193),382,388,199,62,15_190,106.52978723404256,688.3364515487494,794.866238782792,592.3364485981308,688.3364515487494
4,COMP_M,8,8_119,8_(116-119),233,236,198,96,8_116,154.49146757679182,688.9341343344946,843.4256019112864,543.0972880379899,688.9341343344946
43,COMP_M,4,4_66,4_(63-66),159,143,194,33,4_63,351.89130434782606,689.4982835799738,1041.3895879277998,613.4982817869416,689.4982835799738
43,COMP_M,4,4_70,4_(63-70),159,147,194,12,4_63,43.83003492433062,702.4982834884718,746.3283184128024,613.4982817869416,702.4982834884718
26,COMP_M,5,5_76,5_(75-76),165,161,195,0,5_75,54.33904109589041,705.2697891087569,759.6088302046472,520.5395683453237,705.2697891087569
40,COMP_M,13,13_169,13_(168-169),352,334,169,149,13_168,67.2488425925926,706.0328254541395,773.2816680467321,657.0328232128159,706.0328254541395
12,COMP_M,12,12_155,12_(150-155),301,307,43,195,12_150,102.27697841726619,706.4364540281566,808.7134324454228,624.4364522926537,706.4364540281566
2,COMP_M,3,3_55,3_(53-55),119,124,20,140,3_53,121.76523702031602,711.4982842392693,833.2635212595853,668.5206099503146,711.4982842392693
28,COMP_M,9,9_142,9_(139-142),276,282,181,4,9_139,110.45136186770428,712.1182170909616,822.5695789586658,684.1182165793583,712.1182170909616
